High School,Apps,Acc,Enroll,T10P,T25P,	Tstu,PTStu,Tuit,BRC,BC,PS,TPHD,TMAST,STR,	ADon,Ispend,GR
High School 221,727,693,286,30,55,1063,48,8100,3950,550,550,73,76,13.3,28,7508,55
High School 222,11115,2881,1390,71,93,5881,406,18300,7131,670,1700,91,92,7.2,27,19635,95
High School 223,7837,4527,2276,89,99,8528,654,6489,4438,795,1164,92,92,19.3,33,11271,70
High School 224,3793,2341,1238,9,24,7732,9054,6744,2655,720,3450,87,89,19,10,7762,34
High School 225,348,281,127,12,52,1095,785,9150,3950,500,800,56,59,12.2,27,7348,76
High School 226,3596,2466,575,42,78,1944,46,19964,4328,500,500,94,95,12.1,32,14720,83
High School 227,633,468,284,10,27,823,963,6120,2985,531,1830,25,25,27.6,4,6081,36
High School 228,1886,1524,526,31,67,2523,296,13000,4450,600,2400,78,90,14.7,32,9553,69
High School 229,674,565,282,25,54,1151,39,12200,4070,400,1200,73,82,14.2,32,9226,66
High School 230,440,396,221,26,51,910,166,9420,3730,600,1230,51,56,9.9,46,10270,72
High School 231,1151,813,248,40,64,850,80,15588,6174,500,1200,78,90,9.2,34,16623,77
High School 232,548,428,167,18,46,618,113,8958,3670,300,1000,53,59,15.3,26,9798,64
High School 233,555,414,242,14,41,996,2281,9100,3100,550,880,51,61,23.6,24,5609,47
High School 234,5165,3887,1561,20,60,8234,2619,6108,3800,500,1000,64,66,20.6,9,5063,57
High School 235,780,628,198,7,20,545,42,11750,2700,400,850,77,83,14,24,6475,76
High School 236,608,494,176,10,31,649,314,8330,3770,550,1300,64,80,13,31,7949,39
High School 237,510,387,194,20,46,771,53,10310,4530,400,800,57,61,14.3,16,8222,60
High School 238,2039,1389,432,56,91,1333,30,15688,4618,400,400,88,92,9.5,54,18979,83
High School 239,2491,1110,573,57,88,2213,35,5224,3048,525,350,65,65,18.4,18,4957,100
High School 240,1202,1054,326,18,44,1410,299,13404,5160,450,1050,78,86,15.6,30,9114,65
High School 241,1709,1385,634,36,72,2281,50,14125,3600,400,700,79,89,12.5,58,9907,80
High School 242,380,237,104,30,56,716,1108,11000,5550,500,500,36,41,7.8,22,7483,96
High School 243,3140,1783,454,40,82,1646,24,19700,5050,300,800,91,96,9.6,60,17761,91
